timestamp,hand_number,bankroll,change,bet_size,true_count,method,session_pnl
2025-12-29 00:05:50,1,990,-10,10,0.0,spread,-10
2025-12-29 00:05:51,2,1000,10,10,0.0,spread,0
2025-12-29 00:05:51,3,990,-10,10,0.17,spread,-10
2025-12-29 00:05:51,4,980,-10,10,0.52,spread,-20
2025-12-29 00:05:51,5,960.0,-20.0,20.0,0.35,spread,-40.0
2025-12-29 01:01:33,1,5000,0,0,0,spread,0
2025-12-29 01:11:05,1,990,-10,10,0.0,spread,-10
2025-12-29 01:11:05,2,980,-10,10,0.17,spread,-20
2025-12-29 01:11:06,3,980,0,10,0.0,spread,-20
2025-12-29 01:11:06,4,970,-10,10,-0.18,spread,-30
2025-12-29 01:11:07,5,985.0,15.0,10,-0.72,spread,-15.0
2025-12-29 01:11:08,6,975.0,-10,10,-0.18,spread,-25.0
2025-12-29 01:11:09,7,965.0,-10,10,-0.37,spread,-35.0
2025-12-29 01:11:10,8,975.0,10,10,-0.57,spread,-25.0
2025-12-29 01:11:10,9,975.0,0,10,-1.15,spread,-25.0
2025-12-29 01:11:11,10,975.0,0,10,-0.78,spread,-25.0
2025-12-29 01:11:11,11,965.0,-10,10,-0.6,spread,-35.0
2025-12-29 01:11:12,12,955.0,-10,10,-0.61,spread,-45.0
2025-12-29 01:11:12,13,965.0,10,10,-0.42,spread,-35.0
2025-12-29 01:11:13,14,960.0,-5.0,10,-0.63,spread,-40.0
2025-12-29 01:11:14,15,950.0,-10,10,-0.86,spread,-50.0
2025-12-29 01:11:14,16,950.0,0,10,-1.1,spread,-50.0
2025-12-29 01:11:15,17,960.0,10,10,-0.68,spread,-40.0
2025-12-29 01:11:15,18,950.0,-10,10,-0.23,spread,-50.0
2025-12-29 01:11:16,19,940.0,-10,10,-0.24,spread,-60.0
2025-12-29 01:11:16,20,955.0,15.0,10,-1.2,spread,-45.0
2025-12-29 01:11:17,21,945.0,-10,10,-0.49,spread,-55.0
2025-12-29 01:11:18,22,935.0,-10,10,-0.5,spread,-65.0
2025-12-29 01:11:19,23,945.0,10,10,-0.51,spread,-55.0
2025-12-29 01:11:20,24,965.0,20,10,0.26,spread,-35.0
2025-12-29 01:11:20,25,975.0,10,10,-0.54,spread,-25.0
2025-12-29 01:11:21,26,985.0,10,10,0.28,spread,-15.0
2025-12-29 01:11:21,27,975.0,-10,10,0.28,spread,-25.0
2025-12-29 01:11:22,28,955.0,-20,10,0.0,spread,-45.0
2025-12-29 01:11:23,29,945.0,-10,10,1.21,spread,-55.0
2025-12-29 01:11:23,30,925.0,-20.0,20.0,0.93,spread,-75.0
2025-12-29 01:11:24,31,945.0,20.0,20.0,1.28,spread,-55.0
2025-12-29 01:11:25,32,965.0,20.0,20.0,1.99,spread,-35.0
2025-12-29 01:11:25,33,1005.0,40.0,40.0,2.04,spread,5.0
2025-12-29 01:11:26,34,1045.0,40.0,40.0,1.76,spread,45.0
2025-12-29 01:11:27,35,1085.0,40.0,40.0,1.44,spread,85.0
2025-12-29 01:11:29,36,1065.0,-20.0,20.0,1.87,spread,65.0
2025-12-29 01:11:29,37,1025.0,-40.0,40.0,2.33,spread,25.0
2025-12-29 01:11:30,38,985.0,-40.0,40.0,2.78,spread,-15.0
2025-12-29 01:11:30,39,925.0,-60.0,60.0,1.64,spread,-75.0
2025-12-29 01:11:32,40,885.0,-40.0,40.0,1.69,spread,-115.0
2025-12-29 01:11:32,41,925.0,40.0,40.0,2.2,spread,-75.0
2025-12-29 01:11:33,42,965.0,40.0,40.0,1.86,spread,-35.0
2025-12-29 01:11:34,43,925.0,-40.0,40.0,1.94,spread,-75.0
2025-12-29 01:11:35,44,935.0,10,10,0.17,spread,-65.0
2025-12-29 01:11:35,45,935.0,0,10,-0.34,spread,-65.0
2025-12-29 01:11:36,46,925.0,-10,10,0.0,spread,-75.0
2025-12-29 01:11:37,47,935.0,10,10,-0.18,spread,-65.0
2025-12-29 01:11:37,48,925.0,-10,10,-0.54,spread,-75.0
2025-12-29 01:11:38,49,920.0,-5.0,10,-0.55,spread,-80.0
2025-12-29 01:11:38,50,930.0,10,10,-0.19,spread,-70.0
2025-12-29 01:11:39,51,950.0,20,10,0.38,spread,-50.0
2025-12-29 01:11:40,52,965.0,15.0,10,0.0,spread,-35.0
2025-12-29 01:11:41,53,980.0,15.0,10,-0.59,spread,-20.0
2025-12-29 01:11:42,54,990.0,10,10,-0.99,spread,-10.0
2025-12-29 01:11:42,55,990.0,0,10,-1.42,spread,-10.0
2025-12-29 01:11:43,56,980.0,-10,10,-1.03,spread,-20.0
2025-12-29 01:11:43,57,970.0,-10,10,-0.84,spread,-30.0
2025-12-29 01:11:44,58,990.0,20,10,-0.64,spread,-10.0
2025-12-29 01:11:44,59,1000.0,10,10,-0.44,spread,0.0
2025-12-29 01:11:45,60,1010.0,10,10,-1.11,spread,10.0
2025-12-29 01:11:46,61,1000.0,-10,10,-1.58,spread,0.0
2025-12-29 01:11:47,62,1010.0,10,10,-1.38,spread,10.0
2025-12-29 01:11:48,63,1020.0,10,10,-1.87,spread,20.0
2025-12-29 01:11:48,64,1030.0,10,10,-1.69,spread,30.0
2025-12-29 01:11:49,65,1020.0,-10,10,-1.47,spread,20.0
2025-12-29 01:11:50,66,1050.0,30,10,-0.78,spread,50.0
2025-12-29 01:11:51,67,1040.0,-10,10,-0.8,spread,40.0
2025-12-29 01:11:52,68,1050.0,10,10,-0.82,spread,50.0
2025-12-29 01:11:52,69,1040.0,-10,10,-1.4,spread,40.0
2025-12-29 01:11:53,70,1040.0,0,10,-2.57,spread,40.0
2025-12-29 01:11:53,71,1050.0,10,10,-2.64,spread,50.0
2025-12-29 01:11:54,72,1040.0,-10,10,-2.72,spread,40.0
2025-12-29 01:11:57,73,1060.0,20,10,-2.38,spread,60.0
2025-12-29 01:11:58,74,1055.0,-5.0,10,-2.77,spread,55.0
2025-12-29 01:11:59,75,1065.0,10,10,-2.17,spread,65.0
2025-12-29 01:11:59,76,1075.0,10,10,-2.99,spread,75.0
2025-12-29 01:12:00,77,1065.0,-10,10,-2.72,spread,65.0
2025-12-29 01:12:00,78,1045.0,-20,10,-1.61,spread,45.0
2025-12-29 01:12:01,79,1060.0,15.0,10,-2.08,spread,60.0
2025-12-29 01:12:02,80,1050.0,-10,10,-1.72,spread,50.0
2025-12-29 01:12:03,81,1040.0,-10,10,-0.89,spread,40.0
2025-12-29 01:12:03,82,1035.0,-5.0,10,-0.92,spread,35.0
2025-12-29 01:12:04,83,1045.0,10,10,-0.96,spread,45.0
2025-12-29 01:12:05,84,1055.0,10,10,0.0,spread,55.0
2025-12-29 01:12:05,85,1045.0,-10,10,0.53,spread,45.0
2025-12-29 01:12:06,86,1065.0,20.0,20.0,0.0,spread,65.0
2025-12-29 01:12:06,87,1075.0,10,10,1.18,spread,75.0
2025-12-29 01:12:07,88,1065.0,-10,10,-0.34,spread,65.0
2025-12-29 01:12:09,89,1055.0,-10,10,-1.03,spread,55.0
2025-12-29 01:12:10,90,1055.0,0,10,-1.21,spread,55.0
2025-12-29 01:12:10,91,1050.0,-5.0,10,-1.4,spread,50.0
2025-12-29 01:12:11,92,1060.0,10,10,-1.42,spread,60.0
2025-12-29 01:12:12,93,1050.0,-10,10,-1.62,spread,50.0
2025-12-29 01:12:13,94,1060.0,10,10,-1.82,spread,60.0
2025-12-29 01:12:13,95,1040.0,-20,10,-1.85,spread,40.0
2025-12-29 01:12:14,96,1050.0,10,10,-1.32,spread,50.0
2025-12-29 01:12:14,97,1060.0,10,10,-1.73,spread,60.0
2025-12-29 01:12:15,98,1050.0,-10,10,-1.18,spread,50.0
2025-12-29 01:12:16,99,1040.0,-10,10,-1.59,spread,40.0
2025-12-29 01:12:16,100,1030.0,-10,10,-1.82,spread,30.0
2025-12-29 01:12:17,101,1020.0,-10,10,-1.65,spread,20.0
2025-12-29 01:12:17,102,1030.0,10,10,-1.7,spread,30.0
2025-12-29 01:12:18,103,1040.0,10,10,-1.08,spread,40.0
2025-12-29 01:12:19,104,1060.0,20,10,-0.44,spread,60.0
2025-12-29 01:12:19,105,1050.0,-10,10,0.23,spread,50.0
2025-12-29 01:12:20,106,1060.0,10,10,0.0,spread,60.0
2025-12-29 01:12:21,107,1070.0,10,10,-0.71,spread,70.0
2025-12-29 01:12:21,108,1060.0,-10,10,-0.48,spread,60.0
2025-12-29 01:12:22,109,1050.0,-10,10,-0.74,spread,50.0
2025-12-29 01:12:23,110,1040.0,-10,10,-0.75,spread,40.0
2025-12-29 01:12:23,111,1050.0,10,10,-1.29,spread,50.0
2025-12-29 01:12:24,112,1060.0,10,10,-1.32,spread,60.0
2025-12-29 01:12:25,113,1060.0,0,10,-0.27,spread,60.0
2025-12-29 01:12:26,114,1070.0,10,10,-0.56,spread,70.0
2025-12-29 01:12:26,115,1060.0,-10,10,-0.85,spread,60.0
2025-12-29 01:12:27,116,1070.0,10,10,-0.88,spread,70.0
2025-12-29 01:12:27,117,1070.0,0,10,-0.9,spread,70.0
2025-12-29 01:12:28,118,1060.0,-10,10,-0.92,spread,60.0
2025-12-29 01:12:28,119,1050.0,-10,10,-0.63,spread,50.0
2025-12-29 01:12:29,120,1040.0,-10,10,-0.97,spread,40.0
2025-12-29 01:12:29,121,1030.0,-10,10,-1.0,spread,30.0
2025-12-29 01:12:30,122,1020.0,-10,10,-1.38,spread,20.0
2025-12-29 01:12:31,123,1020.0,0,10,-1.42,spread,20.0
2025-12-29 01:12:31,124,1010.0,-10,10,-0.74,spread,10.0
2025-12-29 01:12:32,125,1000.0,-10,10,-1.14,spread,0.0
2025-12-29 01:12:32,126,1010.0,10,10,-1.58,spread,10.0
2025-12-29 01:12:33,127,1010.0,0,10,-2.44,spread,10.0
2025-12-29 01:12:33,128,1000.0,-10,10,-2.94,spread,0.0
2025-12-29 01:12:34,129,1010.0,10,10,-3.53,spread,10.0
2025-12-29 01:12:35,130,1020.0,10,10,-3.19,spread,20.0
2025-12-29 01:12:35,131,1030.0,10,10,-3.34,spread,30.0
2025-12-29 01:12:36,132,1040.0,10,10,-3.47,spread,40.0
2025-12-29 01:12:38,133,1050.0,10,10,0.17,spread,50.0
2025-12-29 01:12:38,134,1045.0,-5.0,10,0.17,spread,45.0
2025-12-29 01:12:39,135,1060.0,15.0,10,-0.17,spread,60.0
2025-12-29 01:12:40,136,1050.0,-10,10,0.0,spread,50.0
2025-12-29 01:12:41,137,1060.0,10,10,-0.18,spread,60.0
2025-12-29 01:12:41,138,1070.0,10,10,-0.55,spread,70.0
2025-12-29 01:12:42,139,1080.0,10,10,-0.75,spread,80.0
2025-12-29 01:12:42,140,1070.0,-10,10,-0.38,spread,70.0
2025-12-29 01:12:43,141,1070.0,0,10,-1.61,spread,70.0
2025-12-29 01:12:44,142,1070.0,0,10,-1.03,spread,70.0
2025-12-29 01:12:45,143,1060.0,-10,10,-1.25,spread,60.0
2025-12-29 01:12:45,144,1050.0,-10,10,-0.64,spread,50.0
2025-12-29 01:12:46,145,1040.0,-10,10,-0.22,spread,40.0
2025-12-29 01:12:47,146,1030.0,-10,10,0.0,spread,30.0
2025-12-29 01:12:47,147,1040.0,10,10,-0.45,spread,40.0
2025-12-29 01:12:48,148,1035.0,-5.0,10,-0.46,spread,35.0
2025-12-29 01:12:49,149,1025.0,-10,10,0.47,spread,25.0
2025-12-29 01:12:50,150,1035.0,10,10,0.48,spread,35.0
2025-12-29 01:12:50,151,1025.0,-10,10,0.25,spread,25.0
2025-12-29 01:12:51,152,1025.0,0,10,0.76,spread,25.0
2025-12-29 01:12:52,153,1045.0,20.0,20.0,1.3,spread,45.0
2025-12-29 01:12:53,154,1065.0,20.0,20.0,0.8,spread,65.0
2025-12-29 01:12:53,155,1055.0,-10.0,20.0,0.54,spread,55.0
2025-12-29 01:12:54,156,1035.0,-20.0,20.0,0.84,spread,35.0
2025-12-29 01:12:54,157,1035.0,0,20.0,0.87,spread,35.0
2025-12-29 01:12:55,158,1015.0,-20.0,20.0,0.59,spread,15.0
2025-12-29 01:12:55,159,1035.0,20.0,20.0,0.31,spread,35.0
2025-12-29 01:12:56,160,1045.0,10,10,0.64,spread,45.0
2025-12-29 01:12:56,161,1025.0,-20.0,20.0,0.98,spread,25.0
2025-12-29 01:12:57,162,1005.0,-20.0,20.0,0.34,spread,5.0
2025-12-29 01:12:58,163,995.0,-10,10,1.03,spread,-5.0
2025-12-29 01:12:58,164,955.0,-40.0,20.0,1.42,spread,-45.0
2025-12-29 01:12:59,165,935.0,-20.0,20.0,1.46,spread,-65.0
2025-12-29 01:12:59,166,915.0,-20.0,20.0,1.14,spread,-85.0
2025-12-29 01:13:00,167,895.0,-20.0,20.0,1.94,spread,-105.0
2025-12-29 01:13:01,168,935.0,40.0,40.0,1.61,spread,-65.0
2025-12-29 01:13:01,169,855.0,-80.0,40.0,1.66,spread,-145.0
2025-12-29 01:13:02,170,895.0,40.0,40.0,1.3,spread,-105.0
2025-12-29 01:13:03,171,875.0,-20.0,20.0,0.9,spread,-125.0
2025-12-29 01:13:03,172,905.0,30.0,20.0,0.0,spread,-95.0
2025-12-29 01:13:04,173,895.0,-10,10,0.49,spread,-105.0
2025-12-29 01:13:05,174,905.0,10,10,-0.51,spread,-95.0
2025-12-29 01:13:05,175,915.0,10,10,-1.07,spread,-85.0
2025-12-29 01:13:07,176,905.0,-10,10,0.17,spread,-95.0
2025-12-29 01:13:07,177,915.0,10,10,0.34,spread,-85.0
2025-12-29 01:13:08,178,935.0,20,10,1.05,spread,-65.0
2025-12-29 01:13:08,179,955.0,20.0,20.0,1.42,spread,-45.0
2025-12-29 01:13:09,180,935.0,-20.0,20.0,0.9,spread,-65.0
2025-12-29 01:13:10,181,915.0,-20.0,20.0,0.92,spread,-85.0
2025-12-29 01:13:11,182,935.0,20.0,20.0,1.12,spread,-65.0
2025-12-29 01:13:12,183,915.0,-20.0,20.0,1.52,spread,-85.0
2025-12-29 01:13:12,184,955.0,40.0,40.0,1.16,spread,-45.0
2025-12-29 01:13:13,185,975.0,20.0,20.0,0.79,spread,-25.0
2025-12-29 01:13:14,186,995.0,20.0,20.0,0.2,spread,-5.0
2025-12-29 01:13:14,187,1005.0,10,10,0.61,spread,5.0
2025-12-29 01:13:15,188,985.0,-20.0,20.0,0.42,spread,-15.0
2025-12-29 01:13:16,189,975.0,-10,10,0.42,spread,-25.0
2025-12-29 01:13:17,190,965.0,-10,10,0.22,spread,-35.0
2025-12-29 01:13:17,191,975.0,10,10,0.44,spread,-25.0
2025-12-29 01:13:18,192,965.0,-10,10,0.67,spread,-35.0
2025-12-29 01:13:19,193,965.0,0,20.0,1.15,spread,-35.0
2025-12-29 01:13:20,194,945.0,-20.0,20.0,1.65,spread,-55.0
2025-12-29 01:13:21,195,905.0,-40.0,40.0,1.68,spread,-95.0
2025-12-29 01:13:21,196,825.0,-80.0,40.0,2.46,spread,-175.0
2025-12-29 01:13:22,197,785.0,-40.0,40.0,2.26,spread,-215.0
2025-12-29 01:13:23,198,745.0,-40.0,40.0,2.29,spread,-255.0
2025-12-29 01:13:24,199,805.0,60.0,40.0,2.08,spread,-195.0
2025-12-29 01:13:25,200,845.0,40.0,40.0,1.86,spread,-155.0
2025-12-29 01:13:25,201,885.0,40.0,40.0,1.92,spread,-115.0
2025-12-29 01:13:26,202,845.0,-40.0,40.0,1.96,spread,-155.0
2025-12-29 01:13:27,203,825.0,-20.0,40.0,2.0,spread,-175.0
2025-12-29 01:13:29,204,865.0,40.0,40.0,2.35,spread,-135.0
2025-12-29 01:13:29,205,825.0,-40.0,40.0,1.8,spread,-175.0
2025-12-29 01:13:30,206,785.0,-40.0,40.0,0.92,spread,-215.0
2025-12-29 01:13:30,207,805.0,20.0,20.0,0.64,spread,-195.0
2025-12-29 01:13:31,208,825.0,20.0,20.0,0.66,spread,-175.0
2025-12-29 01:13:32,209,845.0,20.0,20.0,0.68,spread,-155.0
2025-12-29 01:13:33,210,865.0,20.0,20.0,0.35,spread,-135.0
2025-12-29 01:13:33,211,845.0,-20,10,0.36,spread,-155.0
2025-12-29 01:13:34,212,835.0,-10,10,0.74,spread,-165.0
2025-12-29 01:13:34,213,855.0,20.0,20.0,0.38,spread,-145.0
2025-12-29 01:13:35,214,845.0,-10,10,0.79,spread,-155.0
2025-12-29 01:13:36,215,845.0,0,20.0,1.65,spread,-155.0
2025-12-29 01:13:36,216,885.0,40.0,40.0,1.31,spread,-115.0
2025-12-29 01:13:37,217,865.0,-20.0,20.0,1.37,spread,-135.0
2025-12-29 01:13:38,218,895.0,30.0,20.0,0.47,spread,-105.0
2025-12-29 01:13:39,219,915.0,20,10,0.51,spread,-85.0
2025-12-29 01:13:40,220,895.0,-20.0,20.0,1.21,spread,-105.0
2025-12-29 01:13:42,221,895.0,0.0,20.0,3.67,spread,-105.0
